ИНН;КПП;Название организации;Имя файла;Номер документа;Дата документа;Всего;Валюта;НДС;НДС 10%;НДС 18%;НДС 20%;Дата доставки;Статус документа;Дата тарификации;Дата изменения статуса;Подразделение;ФИО ответственного;Комментарий;Ссылка;Удален
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230102/27/0018 от 02.01.23;"=""230102/27/0018""";02.01.2023;722,50;RUB - Российский рубль;120,42;0,00;0,00;120,42;03.01.2023 11:25:45;Требуется подпись;;03.01.2023 07:26:30;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=cd3434f9-c91f-4c90-b226-a188b9559991&documentId=d030610d-c9d1-4c3d-bf73-dcdc414d1601;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230103/76/0044 от 03.01.23;"=""230103/76/0044""";03.01.2023;1 250,17;RUB - Российский рубль;208,36;0,00;0,00;208,36;04.01.2023 11:01:44;Требуется подпись;;04.01.2023 07:01:59;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=d3f85acc-5a21-4881-a13e-bc7b668a40bc&documentId=b8c76927-03c1-47a7-9616-b00591d4676e;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230105/37/0578 от 05.01.23;"=""230105/37/0578""";05.01.2023;289,54;RUB - Российский рубль;48,26;0,00;0,00;48,26;05.01.2023 17:35:29;Требуется подпись;;05.01.2023 13:40:27;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=0c5ae2ff-1eb9-4297-99e7-a16be5ee78ce&documentId=ec19dc57-1382-4eb7-8fe1-91759dc4c33a;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230105/10/0011 от 05.01.23;"=""230105/10/0011""";05.01.2023;78 787,12;RUB - Российский рубль;13 131,18;0,00;0,00;13 131,18;05.01.2023 16:30:49;Требуется подпись;;05.01.2023 12:38:12;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=b8d797b5-f300-45cf-ae49-88cced567a8f&documentId=e40e3dd4-f3f0-4d0b-8dd6-fda27e6343f1;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230106/13/0394 от 06.01.23;"=""230106/13/0394""";06.01.2023;1 021,68;RUB - Российский рубль;170,28;0,00;0,00;170,28;06.01.2023 16:15:59;Требуется подпись;;06.01.2023 12:17:09;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=c5472080-251a-4125-aa13-428326459be2&documentId=97795d57-32a1-4c82-8538-5f3b074260dd;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230106/13/0407 от 06.01.23;"=""230106/13/0407""";06.01.2023;60 444,67;RUB - Российский рубль;10 074,11;0,00;0,00;10 074,11;06.01.2023 16:27:05;Требуется подпись;;06.01.2023 12:28:37;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=3cce4d86-a5af-44b0-a20d-5b346de12d9f&documentId=94e0f9a1-7ac4-4bf2-88f2-bfae146bd27d;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230108/76/0010 от 08.01.23;"=""230108/76/0010""";08.01.2023;1 030,99;RUB - Российский рубль;171,83;0,00;0,00;171,83;08.01.2023 11:38:54;Требуется подпись;;08.01.2023 07:44:22;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=8eb43a37-e4fb-47ca-85f5-5eb5fbe4f6b8&documentId=d5455dab-b121-493f-b715-17e7fc0fafa7;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230110/39/0320 от 10.01.23;"=""230110/39/0320""";10.01.2023;5 051,55;RUB - Российский рубль;841,93;0,00;0,00;841,93;10.01.2023 14:58:36;Требуется подпись;;10.01.2023 10:58:56;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=85037dbe-e646-451f-aa82-8e90ffcc83cf&documentId=9d1c54bb-6c34-42c4-b687-e742487758c2;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230110/67/0145 от 10.01.23;"=""230110/67/0145""";10.01.2023;14 578,96;RUB - Российский рубль;2 429,82;0,00;0,00;2 429,82;10.01.2023 17:07:05;Требуется подпись;;10.01.2023 13:09:35;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=b9cd5dd4-36ee-4aac-bcb5-bc6361f03fc2&documentId=02caf4f9-18ba-47d8-a071-446d0b9a0a1e;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230110/04/0015 от 10.01.23;"=""230110/04/0015""";10.01.2023;49 861,19;RUB - Российский рубль;8 310,21;0,00;0,00;8 310,21;10.01.2023 09:08:05;Требуется подпись;;10.01.2023 05:18:27;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=86fa5085-e12a-4e98-90d9-c0f7800072b4&documentId=b804822b-b463-4d5d-bda3-000aaa50a7cd;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230110/39/1545 от 10.01.23;"=""230110/39/1545""";10.01.2023;1 751,45;RUB - Российский рубль;291,91;0,00;0,00;291,91;10.01.2023 20:47:59;Требуется подпись;;10.01.2023 16:55:25;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=ece06804-099e-4af8-a141-6b55a09af69d&documentId=208c9c44-13ae-4e6d-95a4-d402f63a7b4c;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230112/47/0041 от 12.01.23;"=""230112/47/0041""";12.01.2023;95,78;RUB - Российский рубль;15,96;0,00;0,00;15,96;12.01.2023 10:54:50;Требуется подпись;;12.01.2023 06:55:01;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=910dce22-21f5-43e3-bf97-4f8c77c7c526&documentId=c7ce78fe-6ef2-403e-964c-0848fb871c54;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230112/13/0069 от 12.01.23;"=""230112/13/0069""";12.01.2023;7 419,48;RUB - Российский рубль;1 236,58;0,00;0,00;1 236,58;12.01.2023 13:39:20;Требуется подпись;;12.01.2023 09:39:35;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=07e43562-52af-4c4d-b7d8-82bdc9a42227&documentId=6bf56900-0ed3-44e0-962e-ac2b1e19d5dd;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230112/76/0044 от 12.01.23;"=""230112/76/0044""";12.01.2023;2 303,58;RUB - Российский рубль;383,93;0,00;0,00;383,93;12.01.2023 16:15:20;Требуется подпись;;12.01.2023 12:18:22;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=c0b3cc91-5ab3-4a94-b28a-b985ce0714aa&documentId=333d705b-e4ad-4a67-8f8f-8eee825f01cc;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230113/39/1375 от 13.01.23;"=""230113/39/1375""";13.01.2023;29 265,19;RUB - Российский рубль;4 877,53;0,00;0,00;4 877,53;13.01.2023 20:20:46;Требуется подпись;;13.01.2023 16:24:17;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=207a901f-9d06-4b0b-a968-7e2196e74797&documentId=58d9e6dd-92f1-42c7-839c-481cab964b47;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230113/39/0632 от 13.01.23;"=""230113/39/0632""";13.01.2023;573,14;RUB - Российский рубль;95,52;0,00;0,00;95,52;13.01.2023 16:35:02;Требуется подпись;;13.01.2023 12:38:30;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=cc00bc7b-37a5-4013-9088-151ead0f6349&documentId=14741fb0-3a97-4519-a7a4-6e8691e7a6a4;
"=""5401359124""";"=""425301001""";"ООО ""Гринлайт""";УПД №230113/39/0631 от 13.01.23;"=""230113/39/0631""";13.01.2023;2 749,47;RUB - Российский рубль;458,25;0,00;0,00;458,25;13.01.2023 16:35:28;Требуется подпись;;13.01.2023 12:38:41;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=455393b9-8f05-4992-91be-a92faefba4e8&documentId=90da56e6-cd7d-44ba-9aec-fabbd9844dbf;
