ИНН;КПП;Название организации;Имя файла;Номер документа;Дата документа;Всего;Валюта;НДС;НДС 10%;НДС 18%;НДС 20%;Дата доставки;Статус документа;Дата тарификации;Дата изменения статуса;Подразделение;ФИО ответственного;Комментарий;Ссылка;Удален
5401359124;425301001;"ООО ""Гринлайт""";УПД №221129/39/1396 от 29.11.22;221129/39/1396;29.11.2022;1 876,70;RUB - Российский рубль;312,78;0;0;312,78;29.11.2022 20:13;Требуется подпись;;29.11.2022 16:33;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=0ef336f7-c2aa-4cf6-866c-fb1ec5d1b79f&documentId=636aa84a-7ead-4dc7-b4c4-d7c14d0baf8f;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221129/39/1395 от 29.11.22;221129/39/1395;29.11.2022;3 240,84;RUB - Российский рубль;540,14;0;0;540,14;29.11.2022 20:14;Требуется подпись;;29.11.2022 16:33;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=be181f23-5bb4-482d-a1b3-433b3a6e186d&documentId=e0936c41-9e48-4f3f-b206-37f1839e0ce9;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221129/37/0970 от 29.11.22;221129/37/0970;29.11.2022;1 477,06;RUB - Российский рубль;246,18;0;0;246,18;30.11.2022 19:32;Требуется подпись;;30.11.2022 15:34;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=6278bbfa-9fff-4903-a008-47a85d6e0005&documentId=dc1fbce5-1337-4833-8ed3-e819ac4d6b7d;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221130/77/0163 от 30.11.22;221130/77/0163;30.11.2022;5 734,92;RUB - Российский рубль;955,82;0;0;955,82;30.11.2022 19:30;Требуется подпись;;30.11.2022 15:34;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=b0a6401e-2f93-45c3-b285-49267ff1ad3d&documentId=395684b9-bc91-49a1-9611-b47d05d7c153;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221201/27/0109 от 01.12.22;221201/27/0109;01.12.2022;1 063,46;RUB - Российский рубль;177,24;0;0;177,24;01.12.2022 15:20;Требуется подпись;;01.12.2022 11:20;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=4304ad3b-8ad7-479f-8f7c-7f882ae8e6e9&documentId=20a85c70-e5dc-44b1-8f4c-ee72691918cd;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221201/14/0006 от 01.12.22;221201/14/0006;01.12.2022;11 492,49;RUB - Российский рубль;1 915,41;0;0;1 915,41;01.12.2022 9:16;Требуется подпись;;01.12.2022 5:21;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=e46a357f-22ff-41a6-96aa-bd2d7df8e801&documentId=22ca08c8-9240-40ef-8954-37a1fd2c4e62;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221202/15/0060 от 02.12.22;221202/15/0060;02.12.2022;4 997,99;RUB - Российский рубль;833;0;0;833;02.12.2022 11:00;Требуется подпись;;02.12.2022 7:03;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=c3a0947a-2d1a-4772-9adb-cca32d8bed55&documentId=513d08c9-9bd8-4d2c-a69a-10c7e245d9c0;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221203/41/0001 от 03.12.22;221203/41/0001;03.12.2022;3 383,67;RUB - Российский рубль;563,95;0;0;563,95;03.12.2022 11:29;Требуется подпись;;03.12.2022 7:44;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=2ee17661-84dc-4723-a079-0bf7cab7b2c2&documentId=4c65e457-cf75-44f1-8f5d-d351b8a6c0b6;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221205/42/0841 от 05.12.22;221205/42/0841;05.12.2022;23 946,29;RUB - Российский рубль;3 991,06;0;0;3 991,06;05.12.2022 18:52;Требуется подпись;;05.12.2022 15:17;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=5203d824-186f-4ebe-acc1-c593cfcd636b&documentId=5ca3ee9a-cad6-49b8-9000-417b72803831;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221205/67/0064 от 05.12.22;221205/67/0064;05.12.2022;229,11;RUB - Российский рубль;38,19;0;0;38,19;05.12.2022 14:07;Требуется подпись;;04.01.2023 18:32;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=5058b083-fba1-43fa-88c6-95554b93191b&documentId=e4c07e4f-2e16-40f8-af43-940f0d1b70d0;
