ИНН;КПП;Название организации;Имя файла;Номер документа;Дата документа;Всего;Валюта;НДС;НДС 10%;НДС 18%;НДС 20%;Дата доставки;Статус документа;Дата тарификации;Дата изменения статуса;Подразделение;ФИО ответственного;Комментарий;Ссылка;Удален
5401359124;425301001;"ООО ""Гринлайт""";УПД №210105/38/0001 от 05.01.21;210105/38/0001;05.01.2021;526,76;RUB - Российский рубль;87,8;0;0;87,8;05.01.2021 11:53;Требуется подпись;;05.01.2021 11:05;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=ae6dd8d8-3d97-4deb-9ab2-8ed820a86e1f&documentId=307c4813-2d19-4138-8158-fa0dd1e566c2;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210122/40/0018 от 22.01.21;210122/40/0018;22.01.2021;48,71;RUB - Российский рубль;8,12;0;0;8,12;22.01.2021 12:20;Требуется подпись;;22.01.2021 8:42;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=0feec8df-ae4d-444a-8e33-d631e0606dd0&documentId=232640f6-34f2-4dd4-89ce-f498be8029e1;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210202/44/0002 от 02.02.21;210202/44/0002;02.02.2021;388,94;RUB - Российский рубль;64,82;0;0;64,82;02.02.2021 6:14;Требуется подпись;;02.02.2021 3:00;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=70618ec3-e484-4f26-bc71-77db16ba1c46&documentId=9f6763a4-a3e3-46c9-b1ef-dee89e1e8006;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210209/15/0222 от 09.02.21;210209/15/0222;09.02.2021;2 869,27;RUB - Российский рубль;478,21;0;0;478,21;10.02.2021 11:09;Требуется подпись;;10.02.2021 7:12;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=767ab7f4-15c4-4c41-97c5-d91b9da59087&documentId=5e99c8b0-92ce-4763-a248-d9824b4c3ae8;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210210/43/0058 от 10.02.21;210210/43/0058;10.02.2021;745,05;RUB - Российский рубль;124,18;0;0;124,18;10.02.2021 16:14;Требуется подпись;;10.02.2021 12:19;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=7de96ccd-70b9-42e0-9969-305b8f3fe8cb&documentId=284ce510-ee14-40b8-bcff-800e398a7aa1;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210212/85/0083 от 12.02.21;210212/85/0083;12.02.2021;4 977,24;RUB - Российский рубль;829,54;0;0;829,54;12.02.2021 19:43;Требуется подпись;;12.02.2021 16:08;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=1c4630d6-c79a-4dfe-a50b-b59874828144&documentId=412565d0-2d46-423f-a956-1d6ba19c9964;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210215/14/0046 от 15.02.21;210215/14/0046;15.02.2021;4 885,25;RUB - Российский рубль;814,2;0;0;814,2;15.02.2021 9:55;Требуется подпись;;15.02.2021 6:10;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=60c469d1-3951-4a14-993c-6545977f8109&documentId=c4cfc8c0-24eb-47da-b921-919145dfeaa1;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210225/17/0109 от 25.02.21;210225/17/0109;25.02.2021;1 076,98;RUB - Российский рубль;179,49;0;0;179,49;25.02.2021 14:40;Требуется подпись;;25.02.2021 10:41;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=c2aba0e1-0de7-49f3-aaaf-bd3f9bcfadee&documentId=2932385f-6316-4a92-bc72-4e011d2ccf6f;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210225/14/0029 от 25.02.21;210225/14/0029;25.02.2021;414,92;RUB - Российский рубль;69,15;0;0;69,15;25.02.2021 8:53;Требуется подпись;;25.02.2021 4:56;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=dc0c14ef-047e-49f2-bb91-2e28c9061821&documentId=6b1cb8a0-f1c5-498b-a027-e7dd0e3f1645;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210227/41/0001 от 27.02.21;210227/41/0001;27.02.2021;6 071,36;RUB - Российский рубль;1 011,90;0;0;1 011,90;27.02.2021 12:23;Требуется подпись;;27.02.2021 8:53;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=de9aa764-5dd5-4018-beed-1c4fe788560b&documentId=c9ebbdd8-e928-418a-8d49-162954f2a9ef;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210312/44/0017 от 12.03.21;210312/44/0017;12.03.2021;3 659,94;RUB - Российский рубль;609,98;0;0;609,98;12.03.2021 6:50;Требуется подпись;;12.03.2021 5:27;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=62b13158-794a-414e-a15d-a910407b2459&documentId=4b6805dd-82ad-410b-910c-34771be3e519;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210319/40/0001 от 19.03.21;210319/40/0001;19.03.2021;3 671,14;RUB - Российский рубль;611,86;0;0;611,86;19.03.2021 12:37;Требуется подпись;;19.03.2021 8:51;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=cb306252-45a6-42ad-8fb5-a75d61d01bf3&documentId=aeeb1a1c-d60c-4d1b-b43e-5c85ed0c3c5b;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210327/27/0265 от 27.03.21;210327/27/0265;27.03.2021;14 496,94;RUB - Российский рубль;2 416,16;0;0;2 416,16;27.03.2021 17:43;Требуется подпись;;27.03.2021 13:47;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=a102ce69-267d-4479-9984-9d15b2467949&documentId=377359c0-456b-41c9-bd6b-ce0497ac233b;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210330/40/0118 от 30.03.21;210330/40/0118;30.03.2021;2 993,74;RUB - Российский рубль;498,96;0;0;498,96;30.03.2021 21:02;Требуется подпись;;31.03.2021 4:57;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=6af3db9c-9f2f-4ee4-ab22-30d90aab6601&documentId=40483bb0-08e2-42b1-8da5-350f5848829f;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210330/32/0141 от 30.03.21;210330/32/0141;30.03.2021;517,19;RUB - Российский рубль;86,2;0;0;86,2;30.03.2021 9:27;Требуется подпись;;30.03.2021 5:36;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=63d7de77-5983-4748-8a5f-d5d8e4507d59&documentId=8815c891-854e-40ac-8bcb-7162e6ef4b6a;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210406/92/0050 от 06.04.21;210406/92/0050;06.04.2021;744,13;RUB - Российский рубль;124,02;0;0;124,02;06.04.2021 17:47;Требуется подпись;;06.04.2021 14:00;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=f107a3e9-dab9-4b10-b349-f335cb159a70&documentId=2b737f4b-a2bb-4bde-beeb-de175fa44efa;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210416/05/0542 от 16.04.21;210416/05/0542;16.04.2021;2 193,66;RUB - Российский рубль;365,61;0;0;365,61;16.04.2021 16:15;Требуется подпись;;16.04.2021 12:40;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=1e33c203-0137-4b91-bc19-ae5faf1c7cb6&documentId=857d2039-8df6-414d-9755-9f21d338f754;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210416/18/0102 от 16.04.21;210416/18/0102;16.04.2021;9 606,30;RUB - Российский рубль;1 601,04;0;0;1 601,04;16.04.2021 11:35;Требуется подпись;;16.04.2021 7:46;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=96529e63-eaaa-4f2a-bd7f-64b65977e262&documentId=77114ba8-9a24-40a6-84bc-6e79365e4ae1;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210417/78/0068 от 17.04.21;210417/78/0068;17.04.2021;8 081,93;RUB - Российский рубль;1 347,00;0;0;1 347,00;17.04.2021 14:59;Требуется подпись;;19.04.2021 7:09;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=fce313d0-afc9-4a21-987c-c47c34a84df0&documentId=f387601f-3d83-472e-8c85-61de5977205f;
5401359124;425301001;"ООО ""Гринлайт""";УПД №210420/40/0097 от 20.04.21;210420/40/0097;20.04.2021;1 298,88;RUB - Российский рубль;216,48;0;0;216,48;20.04.2021 21:22;Требуется подпись;;20.04.2021 23:13;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=98b9bcd0-cdf1-4d21-8b6a-6ee559cdbb1f&documentId=af36d142-06a8-42d3-a565-3f504285e1a4;
